brand,model,model_link,variant,variant_link,available
Flycon Motors,Empire +,https://www.zigwheels.com/flycon-motors-bikes/empire-plus,"Empire + 60 V, 36 Ah",https://www.zigwheels.com/flycon-motors-bikes/empire-plus/60-v-36-ah,1
Flycon Motors,Empire +,https://www.zigwheels.com/flycon-motors-bikes/empire-plus,"Empire + 60 V, 30 Ah Dual",https://www.zigwheels.com/flycon-motors-bikes/empire-plus/60-v-30-ah-dual,1
Flycon Motors,Empire +,https://www.zigwheels.com/flycon-motors-bikes/empire-plus,"Empire + 60 V, 36 Ah Dual",https://www.zigwheels.com/flycon-motors-bikes/empire-plus/60-v-36-ah-dual,1
Flycon Motors,Bright,https://www.zigwheels.com/flycon-motors-bikes/bright,Bright STD,https://www.zigwheels.com/flycon-motors-bikes/bright/std,1
Flycon Motors,Grove,https://www.zigwheels.com/flycon-motors-bikes/grove,"Grove 48 V, 30 Ah",https://www.zigwheels.com/flycon-motors-bikes/grove/48-v-30-ah,1
Flycon Motors,Grove,https://www.zigwheels.com/flycon-motors-bikes/grove,"Grove 60 V, 30 Ah",https://www.zigwheels.com/flycon-motors-bikes/grove/60-v-30-ah,1
Flycon Motors,Empire,https://www.zigwheels.com/flycon-motors-bikes/empire,Empire STD,https://www.zigwheels.com/flycon-motors-bikes/empire/std,1
Flycon Motors,T3,https://www.zigwheels.com/flycon-motors-bikes/t3,"T3 60 V, 30 Ah",https://www.zigwheels.com/flycon-motors-bikes/t3/60-v-30-ah,1
Flycon Motors,T3,https://www.zigwheels.com/flycon-motors-bikes/t3,"T3 60 V, 36 Ah",https://www.zigwheels.com/flycon-motors-bikes/t3/60-v-36-ah,1
Flycon Motors,T3,https://www.zigwheels.com/flycon-motors-bikes/t3,"T3 60 V, 30 Ah Dual",https://www.zigwheels.com/flycon-motors-bikes/t3/60-v-30-ah-dual,1
Firefox,Urban Eco,https://www.zigwheels.com/firefox-bikes/urban-eco,Urban Eco STD,https://www.zigwheels.com/firefox-bikes/urban-eco/std,1
Firefox,Adventron,https://www.zigwheels.com/firefox-bikes/adventron,Adventron STD,https://www.zigwheels.com/firefox-bikes/adventron/std,1
Fidato Evtech,Easy Go,https://www.zigwheels.com/fidato-evtech-bikes/easy-go,Easy Go STD,https://www.zigwheels.com/fidato-evtech-bikes/easy-go/std,1
Fidato Evtech,Loder,https://www.zigwheels.com/fidato-evtech-bikes/loder,Loder STD,https://www.zigwheels.com/fidato-evtech-bikes/loder/std,1
Fidato Evtech,EasyGo Plus,https://www.zigwheels.com/fidato-evtech-bikes/easygo-plus,EasyGo Plus STD,https://www.zigwheels.com/fidato-evtech-bikes/easygo-plus/std,1
Fidato Evtech,Future 2020,https://www.zigwheels.com/fidato-evtech-bikes/future-2020,Future 2020 STD,https://www.zigwheels.com/fidato-evtech-bikes/future-2020/std,1
Fidato Evtech,Cutie,https://www.zigwheels.com/fidato-evtech-bikes/cutie,Cutie STD,https://www.zigwheels.com/fidato-evtech-bikes/cutie/std,1
EVOLET,Dhanno,https://www.zigwheels.com/evolet-bikes/dhanno,Dhanno STD,https://www.zigwheels.com/evolet-bikes/dhanno/std,1
EVOLET,Derby,https://www.zigwheels.com/evolet-bikes/derby,Derby Classic,https://www.zigwheels.com/evolet-bikes/derby/classic,1
EVOLET,Pony,https://www.zigwheels.com/evolet-bikes/polo-pony,Pony Classic,https://www.zigwheels.com/evolet-bikes/polo-pony/classic,1
