brand,model,model_link
hyundai,tucson 2025,https://www.zigwheels.com/hyundai-cars/tucson-2025
hyundai,staria,https://www.zigwheels.com/hyundai-cars/staria
hyundai,ioniq 9,https://www.zigwheels.com/hyundai-cars/ioniq-9
hyundai,stargazer,https://www.zigwheels.com/hyundai-cars/stargazer
hyundai,nexo,https://www.zigwheels.com/hyundai-cars/nexo
hyundai,genesis,https://www.zigwheels.com/hyundai-cars/genesis
hyundai,inster,https://www.zigwheels.com/hyundai-cars/inster
hyundai,ioniq,https://www.zigwheels.com/hyundai-cars/ioniq
hyundai,i45,https://www.zigwheels.com/hyundai-cars/i45
hyundai,hexa space,https://www.zigwheels.com/hyundai-cars/hexa-space
hyundai,hnd14,https://www.zigwheels.com/hyundai-cars/hnd14
hyundai,i15,https://www.zigwheels.com/hyundai-cars/i15
hyundai,i40,https://www.zigwheels.com/hyundai-cars/i40
hyundai,ix25,https://www.zigwheels.com/hyundai-cars/ix25
hyundai,veloster,https://www.zigwheels.com/hyundai-cars/veloster
hyundai,kona electric 2024,https://www.zigwheels.com/hyundai-cars/kona-electric-2024
hyundai,casper,https://www.zigwheels.com/hyundai-cars/casper
hyundai,ioniq 5,https://www.zigwheels.com/hyundai-cars/ioniq-5
hyundai,grand i10 nios,https://www.zigwheels.com/hyundai-cars/grand-i10-nios
hyundai,ioniq 6,https://www.zigwheels.com/hyundai-cars/ioniq-6
hyundai,i20 n-line,https://www.zigwheels.com/hyundai-cars/i20-n-line
hyundai,santa fe 2025,https://www.zigwheels.com/hyundai-cars/santa-fe-2025
hyundai,venue ev,https://www.zigwheels.com/hyundai-cars/venue-ev
mahindra,scorpio,https://www.zigwheels.com/mahindra-cars/scorpio-classic
mahindra,thar,https://www.zigwheels.com/mahindra-cars/thar
mahindra,xuv700,https://www.zigwheels.com/mahindra-cars/xuv700
mahindra,scorpio n,https://www.zigwheels.com/mahindra-cars/scorpio-n
mahindra,thar roxx,https://www.zigwheels.com/mahindra-cars/thar-roxx
mahindra,be 6,https://www.zigwheels.com/mahindra-cars/be-6
mahindra,bolero,https://www.zigwheels.com/mahindra-cars/bolero
mahindra,xuv 3xo,https://www.zigwheels.com/mahindra-cars/xuv-3xo
mahindra,xev 9e,https://www.zigwheels.com/mahindra-cars/xev-9e
mahindra,bolero 2025,https://www.zigwheels.com/mahindra-cars/bolero-2025
mahindra,bolero neo,https://www.zigwheels.com/mahindra-cars/bolero-neo
mahindra,bolero pikup extralong,https://www.zigwheels.com/mahindra-cars/bolero-pik-up
mahindra,xuv900,https://www.zigwheels.com/mahindra-cars/xuv900
mahindra,bolero camper,https://www.zigwheels.com/mahindra-cars/bolero-camper
mahindra,xuv400 ev,https://www.zigwheels.com/mahindra-cars/xuv400-ev
